person.key,person.name.last,person.name.first,entry.name
brown-ump,Brown,,#umpire
mccloud-ump,McCloud,Harry J.,#umpire
mcquirk-ump,McQuirk,,#umpire
strong-ump,Strong,,#umpire
aldinger-bur,Aldinger,Albert Kurwin,Burlington
brennan-bur,Brennan,,Burlington
deininger-bur,Deininger,"Otto C. ""Pep""*",Burlington
dolan-bur,Dolan,John Frank,Burlington
donovan-bur+pla,Donovan,Jerry,Burlington
dowd-bur,Dowd,"Thomas J. ""Tom""*",Burlington
doyle-bur,Doyle,Jack,Burlington
hayes-bur,Hayes,Tom E.,Burlington
hayes-bur,Hayes,"Thomas E. ""Tom""",Burlington
hazelton-bur,Hazelton,"Willard C. ""Doc""*",Burlington
keough-bur,Keough,,Burlington
lauder-pla+bur,Lauder,"William ""Billy""*",Burlington
laughlin-bur,Laughlin/Lo,Eddie,Burlington
laughlin-bur,Laughlin,Eddie,Burlington
laughlin-bur,Loughlin,Eddie,Burlington
matthews-bur,Matthews,William Clarence,Burlington
mccrane-bur,McCrane,John,Burlington
mcdonnell-pla+bur,McDonnell,(P. J.?),Burlington
oconnor-bur,O'Connor,,Burlington
page-bur,Page,Wilfred Henry,Burlington
robertson-bur+rut,Robertson,James A.,Burlington
simon-bur,Simon,,Burlington
skelley-bur+pla,Skelley,"Thomas J. ""Tom""",Burlington
smith-bur,Smith(alias?),,Burlington
vickers-bur,Vickers,"Harry P. ""Rube""*",Burlington
ward-bur,Ward,,Burlington
warner-bur,Warner,"Joihn J. ""Jack""*",Burlington
wiggs-bur,Wiggs,James A.*,Burlington
apperiod-mb,Apperious,Samuel Henry,Montpelier-Barre
ashmore-mb,Ashmore,James N.,Montpelier-Barre
burns-mb,Burns,"Edward ""Eddie""",Montpelier-Barre
coombs-mb,Coombs,"John W. ""Jack""*",Montpelier-Barre
daley-mb,Daley,Arthur W.,Montpelier-Barre
davis-mb,Davis,"William J. H. ""Cy""",Montpelier-Barre
dorman-mb,Dorman,John,Montpelier-Barre
eaton-mb,Eaton,George F.,Montpelier-Barre
grant-mb,Grant,"Edward L. ""Ed""*",Montpelier-Barre
mcmahon-mb,McMahon,"Daniel F. ""Dan""",Montpelier-Barre
morey-mb,Morey,O. G.,Montpelier-Barre
reidy-mb,Reidy,Tom,Montpelier-Barre
shaughnessy-mb,Shaughnessy,"Francis J. ""Shag""*",Montpelier-Barre
smith-mb,Smith,Sid,Montpelier-Barre
stankard-mb,Stankard,Thomas F.*,Montpelier-Barre
uniac-mb,Uniac,Thomas Vincent,Montpelier-Barre
amole-pla,Amole,"Morris F. ""Doc""*",Plattsburgh
bagley-pla,Bagley,,Plattsburgh
barberick-pla,Barberick,,Plattsburgh
bottenus-pla,Bottenus,William George,Plattsburgh
callahan-pla,Callahan,,Plattsburgh
clarke-pla,Clarke,James A.,Plattsburgh
cooper-pla,Cooper,,Plattsburgh
cosgrove-pla,Cosgrove,W. B.,Plattsburgh
cote-pla,Cote,Emile Louis,Plattsburgh
donovan-bur+pla,Donovan,Jerry,Plattsburgh
hafford-rut+pla,Hafford,Leo E.*,Plattsburgh
hildrebrand-pla,Hildebrand,"Arthur R. T. ""Doc""",Plattsburgh
johnson-pla,Johnson,,Plattsburgh
koopman-pla,Koopman,Charles,Plattsburgh
krichell-pla,Krichell,Paul,Plattsburgh
kuhns-pla,Kuhns,(Chas.*?),Plattsburgh
lauder-pla+bur,Lauder,"William ""Billy""*",Plattsburgh
lush-pla,Lush,"Wm. L. ""Billy""*",Plattsburgh
mcdonnell-pla+bur,McDonnell,(P. J.?),Plattsburgh
skelley-bur+pla,Skelley,"Thomas J. ""Tom""",Plattsburgh
warren-pla,Warren,,Plattsburgh
washburn-pla,Washburn,"Libeus ""Libe""*",Plattsburgh
wells-pla,Wells,"""Dummy""",Plattsburgh
boucher-rut,Boucher,Alexander F.*,Rutland
carroll-rut,Carroll,Frank J.,Rutland
cotter-rut,Cotter," Joseph ""Joe""",Rutland
doscher-rut,Doscher,"John H., Jr.*",Rutland
duff-rut,Duff,Patrick H.*,Rutland
duff-rut,Duff,"Patrick H. ""Paddy""*",Rutland
dyer-rut,Dyer,"William H. ""Billy""",Rutland
ferry-rut,Ferry,"Alfred J. ""Cy""*",Rutland
genge-rut,Genge,,Rutland
hafford-rut+pla,Hafford,Leo E.*,Rutland
leroy-rut,LeRoy,Louis P.*,Rutland
mcgamwell-rut,McGamwell,,Rutland
minahan-rut,Minahan,Edmund J.*,Rutland
ohara-rut,O'Hara,"Thomas F. ""Tom""*",Rutland
ohara-rut,O'Hara,"Thomas F. ""Tommy""*",Rutland
ray-rut,Ray,E. H.,Rutland
robertson-bur+rut,Robertson,James A.,Rutland
schultz-rut,Schultz,,Rutland
shannon-rut,Shannon,"J. F. ""Frank""*",Rutland
shean-rut,Shean,Dave,Rutland
stahler-rut,Stahler,,Rutland
stotter-rut,Stotter,,Rutland
wall-rut,Wall,"Joseph F. ""Joe""*",Rutland
