person.key,person.name.last,person.name.first,entry.name
brown-exc,Brown,Charles W.,#league
farnbaker-exc,Farnbaker,M. J.,#league
adams-ump,Adams,Frank,#umpire
eckstone-cai+ump,Eckstone,Sydney,#umpire
ike-ump,Ike,Albert,#umpire
zinkins-ump,Zinkins,Ned,#umpire
asher-hen+cai,Asher,"Elvis E. ""Big Bill""",Cairo
bissell-cai,Bissell,Wilbert P.,Cairo
bittrolff-cai,Bittrolff,George F.,Cairo
blackburn-cai,Blackburn,R. J.,Cairo
bomar-hop+cai,Bomar,Charles B.,Cairo
daniels-hen+cai,Daniels,,Cairo
eckstone-cai+ump,Eckstone,Sydney,Cairo
fleming-cai,Fleming,Harry J.,Cairo
gerard-cai,Gerard,"Frank ""Kitty""",Cairo
harsey-cai,Harsey,,Cairo
harvey-cai,Harvey,James,Cairo
hippert-cai+vin,Hippert,Garfield Arthur,Cairo
holycross-cai,Holycross,Pearl,Cairo
hughes-cai,Hughes,"James C. ""Dummy""",Cairo
lane-cai,Lane,Clifford,Cairo
larsen-cai,Larsen,Andrew N.,Cairo
lemon-vin+cai,Lemon,Lee,Cairo
marre-cai,Marre,"Angelo ""Augie""",Cairo
mccarthy-cai,McCarthy,"Daniel ""Dan""",Cairo
mcnamare-cai,McNamare,,Cairo
morgan-hen+cai,Morgan,Louis P.,Cairo
morris-hop+cai,Morris,"Forrest ""Foxy""",Cairo
opfergelt-cai,Opfergelt,Edward A.,Cairo
petit-cai,Petit,"Andrew E. ""Andy""",Cairo
price-cai,Price,Howard S.,Cairo
roland-cai,Roland,William M.,Cairo
schaefer-cai,Schaefer,Ben,Cairo
taylor-cai,Taylor,,Cairo
vitter-cai,Vitter,"Harry W. ""Red""",Cairo
wagner-cai,Wagner,"Louis R. ""Dutch""",Cairo
wilder-cai,Wilder,Percy,Cairo
asher-hen+cai,Asher,"Elvis E. ""Big Bill""",Henderson
brown-hen,Brown,M.,Henderson
crowder-hen,Crowder,Ned,Henderson
daniels-hen+cai,Daniels,,Henderson
dennis-hen,Dennis,,Henderson
duncan-hen,Duncan,,Henderson
french-hen+vin,French,Charles C.*,Henderson
gilbert-hen,Gilbert,Rufus W.,Henderson
goodrich-hen,Goodrich,Clarence,Henderson
kubitz-hen,Kubitz,Harry,Henderson
long-hen+pri,Long,Arthur,Henderson
morgan-hen+cai,Morgan,Louis P.,Henderson
mullen-hen,Mullen,Otho,Henderson
quinn-hen,Quinn,Franklin C.*,Henderson
schissel-hen,Schissel,"Albert Daniel ""Al""",Henderson
stewart-hen,Stewart,,Henderson
uhl-hen,Uhl,Fred,Henderson
barlow-hop+pri,Barlow,Robert,Hopkinsville
bomar-hop+cai,Bomar,Charles B.,Hopkinsville
brady-hop,Brady,Frank,Hopkinsville
desmond-hop,Desmond,"John T. ""Jack""",Hopkinsville
henderson-hop,Henderson,,Hopkinsville
