person.key,person.name.last,person.name.first,entry.name
shiveley-exc,Shiveley,Dr. D. M.,#league
cameron-ump,Cameron,Fred,#umpire
deprey-ump,Deprey,A. H.,#umpire
ghio-ump,Ghio,Chris,#umpire
lewinson-ump,Lewinson,Mort,#umpire
malay-ump,Malay,,#umpire
owens-ump,Owens,Clarence B.,#umpire
ragan-ump,Ragan,James,#umpire
alderman-top+gut,Alderman,"Dallas Geer ""Dal""",Guthrie
bennett-gut,Bennett,"Ben E. ""Dad""",Guthrie
berry-gut,Berry,Charles A.,Guthrie
blackburn-okc+gut+sed+top,Blackburn,George W.*,Guthrie
brown-gut,Brown,Loren,Guthrie
collins-gut,Collins,Robert F.,Guthrie
companion-jop+gut,Companion,Paul C.,Guthrie
dalrymple-gut,Dalrymple,George Edmund,Guthrie
downs-gut,Downs,"Jerome W. ""Red""*",Guthrie
forrester-gut+lea+top,Forrester,"John W. ""Jack""",Guthrie
graves-gut,Graves,George,Guthrie
hamilton-gut,Hamilton,Argus James,Guthrie
hamilton-gut,Hamilton,Argus J.,Guthrie
henderson-gut,Henderson,James Benjamin,Guthrie
henderson-gut,Henderson,J. Ben,Guthrie
hickey-gut,Hickey,Eddie*,Guthrie
hite-gut,Hite,Leo,Guthrie
hutter-sed+gut,Hutter,Amos,Guthrie
jones-gut,Jones,"Wm. R. ""Tex""*",Guthrie
knox-gut,Knox,,Guthrie
mckelvey-gut+top,McKelvey,Ed,Guthrie
mize-gut,Mize,Ora,Guthrie
monroe-gut,Monroe,"R. L. ""Muggsy""",Guthrie
nagel-jop+gut,Nagel,"Paul G. ""Lefty""",Guthrie
pettigrew-gut,Pettigrew,Jim Ned*,Guthrie
queisser.a-gut,Queisser,Arthur Henry,Guthrie
queisser.w-gut+lea,Queisser,Walter Andrew,Guthrie
womack-gut,Womack,Harry,Guthrie
baerwald-jop,Baerwald,Rudolph F.*,Joplin
baerwald-jop,Baerwald,Rudy*,Joplin
bashore-jop,Bashore,Forest,Joplin
bayless-jop,Bayless,"Harry O. ""Dick""*",Joplin
clarke-wic+okc+jop,Clarke,"Orel ""Red""",Joplin
companion-jop+gut,Companion,Paul C.,Joplin
durbin-jop,Durbin,"Blaine A. ""Kid""*",Joplin
fillman-jop+wic,Fillman,John Henry,Joplin
fillman-jop+wic,Fillman,John H.,Joplin
gray-lea+jop,Gray,William Henry,Joplin
horton-jop+spr,Horton,Harry,Joplin
ketchum-lea+jop,Ketchum,F.,Joplin
